,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH600023,0.07992901,1.0,0.008445859,0.0714831510446167,0.0714831510446167,SH600023,浙能电力,2026-05-08,0.3003003,0.30588022
1,SZ000651,0.07013596,1.0,-0.0029662848,0.07310224475189209,0.07310224475189209,,,2026-05-08,503.2025,508.05264
2,SH600941,0.046369687,1.0,-0.0031284094,0.04949809638568115,0.04949809638568115,SH600941,中国移动,2026-05-08,0.042745113,0.042976566
3,SZ002415,0.03495178,1.0,-0.022631466,0.057583246388702394,0.057583246388702394,,,2026-05-08,2.9882846,3.000918
4,SZ002179,0.028794963,1.0,0.0059010983,0.022893864748657226,0.022893864748657226,,,2026-05-08,4.415142,4.620543
5,SZ000333,0.027658671,1.0,-0.0071867704,0.034845441439147945,0.034845441439147945,,,2026-05-08,1.4383445,1.4472681
6,SH601728,0.02732887,1.0,-0.0026881099,0.030016979874725343,0.030016979874725343,SH601728,中国电信,2026-05-08,0.24148773,0.24373236
7,SH601825,0.022828871,1.0,0.0017544031,0.021074467885681153,0.021074467885681153,SH601825,沪农商行,2026-05-08,0.1319908,0.13352978
8,SZ000725,0.020453017,1.0,-0.004837334,0.025290351156036377,0.025290351156036377,,,2026-05-08,0.23803501,0.24027649
9,SH600011,0.01832851,1.0,0.021480918,-0.003152407930603028,0.003152407930603028,SH600011,华能国际,2026-05-08,1.1251277,1.155416
10,SH601916,0.017925402,1.0,0.0,0.017925402,0.017925402,SH601916,浙商银行,2026-05-08,0.23387986,0.23465687
11,SH600660,0.011223334,1.0,0.00084269047,0.010380643532165527,0.010380643532165527,SH600660,福耀玻璃,2026-05-08,211.52411,212.34352
12,SH600030,0.009499198,1.0,-0.0040245056,0.013523703615234375,0.013523703615234375,SH600030,中信证券,2026-05-08,47.96358,48.15667
13,SH600919,0.0085313795,1.0,-0.00526309,0.013794469633666992,0.013794469633666992,SH600919,江苏银行,2026-05-08,0.3897206,0.3931659
14,SZ000166,0.008471096,1.0,0.0013262033,0.007144892653747558,0.007144892653747558,,,2026-05-08,0.030867338,0.03114297
15,SZ002236,0.008383187,1.0,-0.020269454,0.028652640525543213,0.028652640525543213,,,2026-05-08,24.267485,24.281004
16,SH601995,0.0073999087,1.0,0.0,0.0073999087,0.0073999087,SH601995,中金公司,2026-05-08,0.025891941,0.026041046
17,SH601456,0.005481628,1.0,0.0009970665,0.004484561502197265,0.004484561502197265,SH601456,国联民生,2026-05-08,0.27804935,0.28033066
18,SH601939,0.0047539934,1.0,0.0029227734,0.0018312200387939452,0.0018312200387939452,SH601939,建设银行,2026-05-08,0.81926435,0.8291707
19,SH600027,0.0043253386,1.0,0.019182682,-0.014857343437353517,0.014857343437353517,SH600027,华电国际,2026-05-08,1.3513991,1.3903278
20,SZ000063,0.0039085266,1.0,-0.026082933,0.029991459549066162,0.029991459549066162,,,2026-05-08,7.0083,6.9885507
21,SH600377,0.0012408934,1.0,0.018893361,-0.01765246769161377,0.01765246769161377,SH600377,宁沪高速,2026-05-08,2.9356527,2.9985752
22,SH601901,0.001168512,1.0,0.001280427,-0.00011191497906494138,0.00011191497906494138,SH601901,方正证券,2026-05-08,0.26717427,0.2689592
23,SH601288,0.0004980557,1.0,-0.003929317,0.004427372697528076,0.004427372697528076,SH601288,农业银行,2026-05-08,4.696815,4.728921
24,SH601838,6.5507134e-05,1.0,-0.0048130155,0.004878522594968017,0.004878522594968017,SH601838,成都银行,2026-05-08,0.37785336,0.38195476
