,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,SH688256,0.2390481160918921,1.0,0.0031706095,0.23587750661770998,0.23587750661770998,SH688256,寒武纪,2026-05-22,0.06932683,0.07137282
1,SH688041,0.1918703760138759,1.0,0.03482163,0.15704874648964495,0.15704874648964495,SH688041,海光信息,2026-05-22,0.091911145,0.09618217
2,SH600150,0.1850476804474722,1.0,0.020831704,0.16421597630776272,0.16421597630776272,SH600150,中国船舶,2026-05-22,8.517983,8.697567
3,SH688008,0.163089227085022,1.0,-0.04150015,0.20458937824240114,0.20458937824240114,SH688008,澜起科技,2026-05-22,0.05375476,0.054118328
4,SZ002709,0.1627339039329067,1.0,-0.020353436,0.18308734040293845,0.18308734040293845,,,2026-05-22,28.803486,29.004128
5,SH600426,0.1494103559221248,1.0,0.015365839,0.1340445169176082,0.1340445169176082,SH600426,华鲁恒升,2026-05-22,47.77615,48.797142
6,SZ002916,0.1453693010255506,1.0,0.048751354,0.0966179468080213,0.0966179468080213,,,2026-05-22,2.880831,3.1184354
7,SZ300408,0.1419361539863298,1.0,0.013692021,0.12824413261639572,0.12824413261639572,,,2026-05-22,1.2796893,1.3044149
8,SH688047,0.1418411751501049,1.0,-0.029951394,0.17179256875438345,0.17179256875438345,SH688047,龙芯中科,2026-05-22,0.020747554,0.02050302
9,SZ300274,0.1400198276340383,1.0,0.07025862,0.06976121023291526,0.06976121023291526,,,2026-05-22,13.516625,14.690972
10,SH688396,0.139057867563258,1.0,-0.027442276,0.16650014404107172,0.16650014404107172,SH688396,华润微,2026-05-22,0.038479924,0.038100224
11,SZ300308,0.1309269157603389,1.0,0.009148598,0.12177831804305375,0.12177831804305375,,,2026-05-22,100.316605,101.87676
12,SH603893,0.1263432455854097,1.0,0.012319088,0.11402415760323198,0.11402415760323198,SH603893,瑞芯微,2026-05-22,1.0607082,1.0786179
13,SH601689,0.1114416909545989,1.0,-0.011100531,0.12254222157898854,0.12254222157898854,SH601689,XD拓普集,2026-05-22,1.4573867,1.517478
14,SH600460,0.1114320491701367,1.0,-0.008495569,0.11992761839926268,0.11992761839926268,SH600460,士兰微,2026-05-22,17.11,17.264662
15,SZ000338,0.1108215093190243,1.0,-0.0071203113,0.1179418205792477,0.1179418205792477,,,2026-05-22,4.57722,4.6372266
16,SZ000938,0.1086975576526578,1.0,-0.0689469,0.17764445563620884,0.17764445563620884,,,2026-05-22,0.42635995,0.4189394
17,SH688036,0.1064581404620235,1.0,-0.0076049566,0.11406309708891559,0.11406309708891559,SH688036,XD传音控,2026-05-22,0.05096311,0.051763907
18,SH605117,0.0997137213661016,1.0,-0.019436657,0.11915037879484305,0.11915037879484305,SH605117,DR德业股,2026-05-22,3.1837547,3.261732
19,SZ300124,0.0978053076659597,1.0,0.026006341,0.07179896668542991,0.07179896668542991,,,2026-05-22,5.790026,6.1734447
20,SZ300628,0.0975693902757686,1.0,-0.003944397,0.10151378724842484,0.10151378724842484,,,2026-05-22,0.9583998,0.97251797
21,SZ002460,0.0973930709883709,1.0,-0.0013282299,0.0987213008925457,0.0987213008925457,,,2026-05-22,4.2813544,4.3190084
22,SH601138,0.0951768426428901,1.0,-0.00453943,0.09971627278433907,0.09971627278433907,SH601138,工业富联,2026-05-22,0.25348595,0.25529525
23,SZ002384,0.0917228330703035,0.5,-0.022279024,0.11400185719444901,0.11400185719444901,,,2026-05-22,2.6876523,2.6742184
24,SZ300782,0.0911329466117758,1.0,-0.043085754,0.13421870052946988,0.13421870052946988,,,2026-05-22,1.3195107,1.3416995
25,SZ300316,0.0910420927555533,1.0,-0.04609382,0.13713591428112704,0.13713591428112704,,,2026-05-22,4.345589,4.4442635
26,SZ300661,0.0898509059274642,1.0,-0.016353846,0.10620475152377767,0.10620475152377767,,,2026-05-22,6.224574,6.2088757
27,SZ300347,0.0889782961868386,1.0,-0.03380531,0.12278360691300437,0.12278360691300437,,,2026-05-22,2.7893,2.8018336
28,SH603019,0.0879063959206783,1.0,-0.021968782,0.1098751778687679,0.1098751778687679,SH603019,中科曙光,2026-05-22,27.682602,27.548351
29,SZ300866,0.0868795941578798,1.0,-0.015889168,0.10276876194352433,0.10276876194352433,,,2026-05-22,0.01157864,0.011943164
30,SZ300418,0.0867001705031316,1.0,-0.03529656,0.12199672983693287,0.12199672983693287,,,2026-05-22,0.92354673,0.91838664
31,SH688472,0.0840533635290697,1.0,-0.013456106,0.09750946971498278,0.09750946971498278,SH688472,阿特斯,2026-05-22,0.08483387,0.08513149
32,SZ002466,0.0822099593151743,1.0,-0.0040480494,0.08625800876509496,0.08625800876509496,,,2026-05-22,0.683824,0.6856726
33,SZ002493,0.0817266627740695,1.0,0.019958854,0.06176780905245084,0.06176780905245084,,,2026-05-22,0.7026209,0.7178486
34,SH600588,0.0816686702424941,1.0,-0.021941304,0.10360997444934225,0.10360997444934225,SH600588,用友网络,2026-05-22,4.058149,4.043283
35,SH600522,0.0765686011220129,1.0,-0.056196988,0.13276558875094968,0.13276558875094968,SH600522,中天科技,2026-05-22,23.6964,23.231976
36,SZ001979,0.075213146606427,1.0,0.0067169666,0.06849617997739868,0.06849617997739868,,,2026-05-22,0.030555047,0.030824035
37,SZ002463,0.0687352383647143,1.0,0.088276625,-0.019541386314851125,0.019541386314851125,,,2026-05-22,3.1754172,3.4927197
38,SH600309,0.0677757149792065,1.0,0.00949955,0.05827616511348384,0.05827616511348384,SH600309,万华化学,2026-05-22,141.41566,143.12717
39,SH600176,0.0667506775855,1.0,0.047178626,0.019572051525014164,0.019572051525014164,SH600176,中国巨石,2026-05-22,364.9634,397.64105
40,SH600183,0.0667500479885176,1.0,0.099983096,-0.033233048134224105,0.033233048134224105,SH600183,生益科技,2026-05-22,112.336235,123.568
41,SZ002648,0.0665094335960994,1.0,-0.005378425,0.07188785871740677,0.07188785871740677,,,2026-05-22,3.1921012,3.2028933
42,SH600845,0.0648813182086087,1.0,-0.03859353,0.10347484886351592,0.10347484886351592,SH600845,宝信软件,2026-05-22,35.726963,35.420418
43,SH688981,0.0645192194207682,1.0,-0.04371798,0.10823719980559486,0.10823719980559486,SH688981,中芯国际,2026-05-22,0.022688514,0.022461627
44,SH688082,0.0616912107944369,0.5,0.023839355,0.03785185627936122,0.03785185627936122,SH688082,盛美上海,2026-05-22,0.015393174,0.01649754
45,SZ002049,0.0606828969270841,1.0,-0.024345577,0.08502847369023717,0.08502847369023717,,,2026-05-22,68.54874,68.097466
46,SH600482,0.0588876259147931,1.0,-0.013987243,0.0728748690902997,0.0728748690902997,SH600482,中国动力,2026-05-22,7.914076,7.979445
47,SH600346,0.0588360772458084,1.0,0.011920452,0.04691562512788848,0.04691562512788848,SH600346,恒力石化,2026-05-22,6.720439,6.8697457
48,SZ301236,0.0576456501856517,1.0,-0.024546623,0.08219227341563218,0.08219227341563218,,,2026-05-22,0.056501403,0.05791319
49,SZ000625,0.0568689143803839,1.0,-0.009524584,0.06639349819691222,0.06639349819691222,,,2026-05-22,63.81084,65.10822
50,SH600674,0.0555629445165229,1.0,0.010694385,0.04486855994163276,0.04486855994163276,SH600674,川投能源,2026-05-22,66.84658,67.74051
51,SH600989,0.054113587419658,1.0,0.0102648735,0.04384871391501933,0.04384871391501933,SH600989,宝丰能源,2026-05-22,0.14289989,0.14554717
52,SH603369,0.0528774079599928,1.0,0.010306716,0.042570691994721806,0.042570691994721806,SH603369,今世缘,2026-05-22,0.39967838,0.4099176
53,SZ300433,0.0525899274485973,0.5,-0.02635312,0.07894304825243031,0.07894304825243031,,,2026-05-22,1.3275028,1.3220271
54,SH601012,0.0521780679054069,1.0,-0.016829371,0.06900743935773844,0.06900743935773844,SH601012,隆基绿能,2026-05-22,14.814832,14.805025
55,SH600875,0.0494770089122283,1.0,-0.03591615,0.08539315852846976,0.08539315852846976,SH600875,东方电气,2026-05-22,7.354718,7.257526
56,SZ300014,0.0489758746763931,1.0,0.002376318,0.04659955669848782,0.04659955669848782,,,2026-05-22,11.475617,11.698998
